key,value,description
starting_gold,8,F013正式基线初始金币；不再使用1000金测试起手
starting_lives,3,本轮共享初始生命；失败扣除且不会自动恢复
stage_clear_base_gold,3,F013小关通关固定金币；保证前章卖基础骰后可买入路线入口
roll_left_gold_bonus,0,每剩余1次出手奖励金币；F003首版保持关闭
cheat_left_gold_bonus,0,每剩余1次出千奖励金币；F003首版保持关闭
interest_gold_step,6,通关时每持有6金币结算1份利息
interest_gold_per_step,1,每份利息获得金币
interest_gold_cap,4,每个小关最高利息金币；0表示不封顶
market_test_random_refresh,0,F013正式市场基线；0表示读取章节开放/路线倾向/高阶保底/刷新权重
v02_core_families_market_only,1,V0.2当前阵容正式白名单；1表示随机货架只允许新版四家族核心骰、中立骰与双阵营骰，贡品仍仅由深渊召唤生成
v02_pig_family_market_only,0,F016猪猪单家族测试；1表示市场只刷新猪猪家族骰
v02_devil_family_market_only,0,F017恶魔单家族测试；1表示市场只随机五颗常规恶魔骰，贡品只由深渊召唤强制生成
v02_turtle_attachment_market_only,0,F018龟龟化壳单家族测试；1表示市场只刷新六颗可化壳龟和首领龟
v02_pirate_family_market_only,0,F019海盗单家族测试；1表示市场只刷新八颗海盗骰
v02_neutral_family_market_only,0,F020中立家族议会测试；1表示市场只刷新八颗中立骰
v02_dual_family_market_only,0,V0.2双阵营隔离测试；1表示市场只刷新九颗双阵营骰，并临时覆盖包含双阵营的正式白名单
feed_quality_start,1,F016初始喂养值；批发商只影响未来喂养
market_refresh_cost_step,1,F016同一市场内每次刷新后额外增加的费用
affix_feature_enabled,0,F013临时隐藏词缀和改造道具；0表示不展示不出售不使用且不触发词缀效果；1表示恢复F005入口和效果
